problem,size,optimal_cost,algorithm,mean_total_time,std_total_time,mean_gap,std_gap,mean_generations,success_rate,conditional_time_to_optimal,n_repetitions
kroD100,100,21294.0,HybridNaive,1.8357926117720267,0.16880699870155372,0.6455411780855568,0.243540190630324,10.807692307692308,1.0,,
kroD100,100,21294.0,HybridOptimized,0.31468874442169603,0.06783549504008443,0.5749181784684744,0.18971180830892692,11.26923076923077,1.0,,
kroD100,100,21294.0,FullGPU,1.9653928952702,0.574860988879515,0.40892703614597103,0.21586980076831017,75.1923076923077,1.0,,
kroE100,100,22068.0,CPU,189.607441525499,27.704265747281962,0.6086083573848664,0.25385062353810844,11.153846153846153,1.0,,
kroE100,100,22068.0,HybridNaive,1.8549472753058422,0.17871100465780862,0.6490428187002413,0.19109237952439495,11.115384615384615,1.0,,
kroE100,100,22068.0,HybridOptimized,0.2993992876902124,0.051382292253571264,0.548305238354178,0.28082326481728176,11.153846153846153,1.0,,
kroE100,100,22068.0,FullGPU,1.8104339557303406,0.6610023979822164,0.46046485687594985,0.16977971470605793,68.8076923076923,1.0,,
lin105,105,14379.0,HybridNaive,1.9264340621161602,0.1503562231548194,0.48521615389965067,0.2722646516057345,11.076923076923077,1.0,,
lin105,105,14379.0,HybridOptimized,0.3208710490769748,0.049795085874530916,0.46328245785788036,0.2983875932496148,11.076923076923077,1.0,,
lin105,105,14379.0,FullGPU,1.4999985796546036,0.39960836134871675,0.015781561786151813,0.05655059200732601,49.53846153846154,1.0,,
lin318,318,42029.0,HybridNaive,53.477227927653345,11.173272225478165,1.9476478695113444,0.9268751867733018,85.11538461538461,1.0,,
lin318,318,42029.0,HybridOptimized,10.021062355692667,2.523250776131704,2.1702963338500707,1.0341823804749386,92.53846153846153,1.0,,
lin318,318,42029.0,FullGPU,36.589785482193555,11.353156074886662,2.2403944529143796,0.32473473602394537,102.5,1.0,,
pcb442,442,50778.0,HybridNaive,129.46427177865456,20.416888589976022,3.4441778238304295,2.070998167338442,128.92307692307693,1.0,,
pcb442,442,50778.0,HybridOptimized,31.242101725037312,4.5062331392477155,2.58523527754297,1.2641875560832785,132.30769230769232,1.0,,
pcb442,442,50778.0,FullGPU,79.597648301535,25.049743861386318,3.230048143199508,0.37539756099600596,105.0,1.0,,
pr1002,1002,259045.0,HybridNaive,696.045907700384,56.94485691577851,8.041266961338765,1.2392253953006587,195.80769230769232,1.0,,
pr1002,1002,259045.0,HybridOptimized,374.4955749815024,30.920574350998912,7.774562483203838,1.076888929245898,200.6153846153846,1.0,,
pr1002,1002,259045.0,FullGPU,758.4019441248872,256.1798479404236,4.142820448481627,0.2871799740172038,162.73076923076923,1.0,,
pr107,107,44303.0,HybridNaive,2.053660576845267,0.1808467929548786,0.5789675642732998,0.26337290036637445,11.384615384615385,1.0,,
pr107,107,44303.0,HybridOptimized,0.3560124356179743,0.04261557481418572,0.6256738994928283,0.23333713325446612,11.307692307692308,1.0,,
pr107,107,44303.0,FullGPU,2.410003692653985,0.7541400060581598,0.38814874491916684,0.20790842019560835,73.53846153846153,1.0,,
pr124,124,59030.0,HybridNaive,3.1360336566176557,1.955465451235039,0.41113384328698577,0.3992468637595021,15.423076923076923,1.0,,
pr124,124,59030.0,HybridOptimized,0.47121714330558007,0.13148301222847758,0.4138703918476915,0.32698776478687563,13.461538461538462,1.0,,
pr124,124,59030.0,FullGPU,1.8470027896527461,0.4697454533808603,0.0029971722331539373,0.014985861165769688,47.03846153846154,1.0,,
pr136,136,96772.0,HybridNaive,3.8577673702303104,1.4338897241315005,0.7557017446241603,0.1868683668692466,17.076923076923077,1.0,,
pr136,136,96772.0,HybridOptimized,0.6708722655750115,0.14518071741714972,0.7619813741419164,0.18925041077862995,16.53846153846154,1.0,,
pr136,136,96772.0,FullGPU,4.175673591193756,1.4263243976384776,0.49716383314944884,0.16550946404592157,81.34615384615384,1.0,,
pr144,144,58537.0,HybridNaive,3.7945458955020444,0.2973804919801929,0.45112821476488896,0.2679287914530506,16.153846153846153,1.0,,
pr144,144,58537.0,HybridOptimized,0.6550986554201734,0.04963765184374496,0.4123624637146,0.23918002641777744,16.076923076923077,1.0,,
pr144,144,58537.0,FullGPU,2.8685633938840565,0.6600818544314047,0.0,0.0,48.53846153846154,1.0,,
pr152,152,73682.0,HybridNaive,4.46299632957908,0.5034574860394098,0.6273842061415689,0.1851206344267144,17.53846153846154,1.0,,
pr152,152,73682.0,HybridOptimized,0.7502085123076611,0.09458946365234923,0.6258704244643822,0.2468650233150723,17.46153846153846,1.0,,
pr152,152,73682.0,FullGPU,4.4501694706153785,1.1080467658308422,0.3458730135530439,0.19387261357973026,65.46153846153847,1.0,,
pr264,264,49135.0,HybridNaive,20.08929905050113,8.34931364118918,0.9554524035036908,0.7903063046995811,47.26923076923077,1.0,,
pr264,264,49135.0,HybridOptimized,3.8997277201541816,2.274133704656338,1.1351770240546062,0.6425088083816881,50.23076923076923,1.0,,
pr264,264,49135.0,FullGPU,21.482786808191744,7.458005090176399,0.35021252279825593,0.20340340172545243,94.96153846153847,1.0,,
pr299,299,48191.0,HybridNaive,36.75136437807579,13.956201012039102,1.4005966642351029,0.8096454531622165,64.96153846153847,1.0,,
pr299,299,48191.0,HybridOptimized,6.704438116539143,2.2703551557564543,1.453670730091638,0.7130133330653451,67.38461538461539,1.0,,
pr299,299,48191.0,FullGPU,30.141940604037412,7.471704682782905,1.9126616364689868,0.250407601760612,92.92307692307692,1.0,,
pr439,439,107217.0,HybridNaive,111.27973693880796,17.817284301467517,2.7426046816628538,1.4253186014625423,112.57692307692308,1.0,,
pr439,439,107217.0,HybridOptimized,23.471913696000755,3.275043100322412,2.688221801795209,1.385190500519336,110.07692307692308,1.0,,
pr439,439,107217.0,FullGPU,85.93870148561624,23.384592648179883,1.202701064196909,0.18740123431557965,111.07692307692308,1.0,,
pr76,76,108159.0,CPU,73.8401573991165,14.269749906892091,0.5459910516355195,0.2741621118992169,7.5,1.0,,
pr76,76,108159.0,HybridNaive,1.0751795959602428,0.17854633232790448,0.41744098965412035,0.3010663060412542,7.538461538461538,1.0,,
pr76,76,108159.0,HybridOptimized,0.18599441942709605,0.07750824365142761,0.4784267037061535,0.3095996896464601,7.384615384615385,1.0,,
pr76,76,108159.0,FullGPU,0.7217469723450449,0.1801661805537845,0.0435967845060015,0.05832299340158391,50.80769230769231,1.0,,
rat195,195,2323.0,HybridNaive,14.564697179729425,8.151433295031362,1.0463922646445245,0.30574166880723513,46.34615384615385,1.0,,
rat195,195,2323.0,HybridOptimized,2.8862823998847054,1.4314858790452742,1.1142753071293752,0.38527662650960104,51.19230769230769,1.0,,
rat195,195,2323.0,FullGPU,11.586641780613437,4.525428246875868,2.1739130434782608,0.38876150489720007,102.6923076923077,1.0,,
rat783,783,8806.0,HybridNaive,436.7926459842668,53.81116212607172,7.346826464473524,2.44481093977226,181.6153846153846,1.0,,
rat783,783,8806.0,HybridOptimized,207.2844775826203,18.927235567470063,8.788588200352907,1.8776728039502344,167.46153846153845,1.0,,
rat783,783,8806.0,FullGPU,370.20690982872827,107.40644757142265,4.493876552700082,0.2794344739250651,137.69230769230768,1.0,,
rat99,99,1211.0,CPU,188.03880610134578,26.98106802194923,0.7082512862859685,0.25001913998625613,11.76923076923077,1.0,,
rat99,99,1211.0,HybridNaive,1.9626384858103427,0.21493287315518125,0.6288509178682589,0.26519247595944995,11.615384615384615,1.0,,
rat99,99,1211.0,HybridOptimized,0.3461999091513672,0.05758935264487062,0.5272184462935907,0.3263731837302961,11.846153846153847,1.0,,
rat99,99,1211.0,FullGPU,1.6518028372664468,0.4281395882425595,0.35253763577463004,0.25967683825876353,66.61538461538461,1.0,,
rd100,100,7910.0,CPU,186.5955302406556,36.12300430031606,0.6398910823689585,0.2894591093216951,10.73076923076923,1.0,,
rd100,100,7910.0,HybridNaive,1.8357169645012426,0.21495059946964282,0.5042302829913449,0.284062469960329,10.73076923076923,1.0,,
rd100,100,7910.0,HybridOptimized,0.294213368039069,0.04645432046411458,0.6209277448215502,0.24469826922797783,10.76923076923077,1.0,,
rd100,100,7910.0,FullGPU,1.5661392339645421,0.3750010767149437,0.06466984343090539,0.1017635342037052,59.34615384615385,1.0,,
rd400,400,15281.0,HybridNaive,102.59588650288563,13.089252310523657,3.2106235496066002,1.1675965987057273,112.76923076923077,1.0,,
rd400,400,15281.0,HybridOptimized,24.5699691400385,2.7621971713402287,3.130081096182791,1.5544004757142555,113.96153846153847,1.0,,
rd400,400,15281.0,FullGPU,73.33087481715305,19.40407966275718,2.9229359737834315,0.33031967784704414,115.92307692307692,1.0,,
st70,70,675.0,CPU,56.53389645257502,6.2333302971412685,0.3874643874643874,0.28784799863966015,6.8076923076923075,1.0,,
st70,70,675.0,HybridNaive,0.9356424039615726,0.07102877110843726,0.3304843304843305,0.32172294503687987,7.038461538461538,1.0,,
st70,70,675.0,HybridOptimized,0.1702944783098876,0.039208127414267345,0.3532763532763533,0.26334404577302206,6.961538461538462,1.0,,
st70,70,675.0,FullGPU,0.5512525844584826,0.17367682694800843,0.0,0.0,48.23076923076923,1.0,,
ts225,225,126643.0,HybridNaive,10.14064660408262,1.145021051327498,0.7761672879365923,0.1266909101547169,28.423076923076923,1.0,,
ts225,225,126643.0,HybridOptimized,1.8739767646517032,0.31413800745127024,0.7105072465968845,0.13817764246738232,28.46153846153846,1.0,,
ts225,225,126643.0,FullGPU,11.803398752385252,1.5377622652043583,0.0,0.0,69.57692307692308,1.0,,
u159,159,42080.0,HybridNaive,5.260423792114221,0.7862493946381295,0.7599078677976017,0.27834734879145917,19.73076923076923,1.0,,
u159,159,42080.0,HybridOptimized,0.876782582428151,0.09210040337174394,0.6624744077215559,0.3154519384284689,19.615384615384617,1.0,,
u159,159,42080.0,FullGPU,3.9914549256896916,0.8047264554259753,0.033635565954957584,0.1046783630838863,53.34615384615385,1.0,,
